X,Y
-0.00867595471443055,-0.0440856708347415
-0.00475419342120086,-0.0360724343809846
-0.00775577728962487,-0.0454293680297398
-0.00698814351695393,-0.0429190604934099
-0.00708428523149713,-0.0395941196350118
-0.005952531260561,-0.0316781007096992
-0.0131859158499493,-0.0412643629604596
-0.0150142615748564,-0.0390456235214599
-0.0223480398783373,-0.0474918891517404
-0.0235859524614171,-0.0415503548496114
-0.0248835755322744,-0.0363590740114904
-0.026469105553678,-0.0326651740452856
-0.0379528556944914,-0.0484547144305509
-0.0361405880364988,-0.0395593105778979
-0.030042948068041,-0.0230767010251211
-0.0314379858060155,-0.0215382223724231
-0.0372936802973978,-0.028786718485975
-0.0345598175059142,-0.0205641404753858
-0.0232967218654951,0.00192096992227104
-0.0353425143629605,-0.0173550523825617
-0.0310859524614171,-0.00800844880027036
-0.0226475160527205,0.0076547313281514
-0.0211717077841613,0.0107637011377718
-0.0242024670496789,0.00619237918215613
-0.0137719195674214,0.0233654950996958
-0.012917948068041,0.0242261743832376
-0.016474467725583,0.0177918215613383
-0.00655478202095302,0.0327281176072998
-0.006238073110285,0.0317869212571815
-0.0102415343021291,0.0238935958093951
0.00269244958882505,0.0423533710713079
0.000473550185873606,0.0367472118959108
-0.00017216965190943,0.0338072710375127
0.0121359411963501,0.0505867691787766
-0.0017745217979047,0.0273174045285569
0.0116781007096992,0.0460232342007435
0.0079482792610116,0.0382920750253464
0.00639251436296046,0.0337951786076377
0.0144825785738425,0.0440642108820547
0.00436080601554579,0.0266004843978822
0.0214138222372423,0.0502762757688408
0.00385914019375915,0.0218941506139462
0.0155501858736059,0.0379751605272051
0.00466326123690436,0.0208616086515715
0.00758462881604146,0.0246956178889264
0.00109775261912808,0.0149737242311592
-0.00161034133153092,0.0107154444068942
-0.00441746930269235,0.00616352652923285
-0.00508955728286583,0.00448462318350794
-0.0079314520671398,-0.000334544328038752
-0.0174453193646502,-0.0150785738425144
-0.0113131970260223,-0.00724151740452856
-0.0146066801847471,-0.0135979215951335
-0.0112063197026022,-0.0100514531936465
-0.0121950152078405,-0.0130795876985468
-0.0132197251323645,-0.0161052579700349
-0.0204518080432579,-0.0292607637715444
-0.0102336938154782,-0.0156245353159851
-0.0166691787766137,-0.0282946096654275
-0.0085391686380534,-0.01757156133829
-0.0164704996057227,-0.0332529711614284
-0.00280025346400811,-0.0135760392024333
-0.0177357215275431,-0.0419455728286583
0.00267825278810409,-0.0103549312830911
-0.0169256674552214,-0.0486907739101048
0.00916562690098006,-0.00541243663399797
-0.00896955897262589,-0.0426529232848935
0.00677982426495438,-0.0166988678607638
-0.000180466373774925,-0.0319215388081559
-0.00244498141263941,-0.040461000337952
0.00672402838796891,-0.0248758026360257
-0.0015847696293793,-0.0481587346513462
0.0182044609665428,-0.00952982426495438
0.00379178776613721,-0.0494697532950321
0.0167432832037851,-0.0265310775036611
0.0201772558296722,-0.0252235552551538
0.0182607863016785,-0.0426502041793399
0.0293203785062521,-0.0207674890165596
0.0299731328151403,-0.0303501182832038
0.037013489917765,-0.0213031288723668
0.0444864819195674,-0.00443038188577222
0.042986312943562,-0.0344655288948969
0.0509007829221584,-0.0186583305170666
0.0572519432240622,0.000181010476512335
0.0603267995944576,-0.0142708854342683
0.065589022192182,-0.000811718485974992
0.0692815140250084,0.00653727610679284
0.0709220457361721,-0.00552343838008336
0.0718183507941872,0.00247786414329165
0.0714640081108483,0.00892768502872592
0.0713443449363524,0.00641108271375465
0.0701732004055424,0.0157455221358567
0.0692358905035485,0.0079986904359581
0.0672349892981863,0.00518908415005069
0.0636071307874282,0.0138031429537006
0.0596657091359694,0.00877965528894897
0.0542108820547482,-0.00611792835417371
0.0481674552213586,0.00669922271037512
0.0407685591979272,-0.000854525740678158
0.031933592429875,-0.00554832713754647
0.0260760392024333,0.0109996789455897
0.0140851357440577,-0.0234666835642672
0.00582463332206827,-0.0237500844880027
-0.000766869437873155,-0.0179990002253013
-0.0092757688408246,-0.0299765123352484
-0.0145316830010139,-0.0349862622507604
-0.018531739326349,-0.0375107158950096
-0.020083812098682,-0.0296385603244339
-0.0225871916187901,-0.044118499493072
-0.021393770417934,-0.0277874141038639
-0.0204668807029402,-0.0181997634335924
-0.0233372761067928,-0.044933592429875
-0.0202379745409485,-0.0246116687788667
-0.0184227779655289,-0.0196546130449476
-0.0164241860989073,-0.016170396811986
-0.0159297059817506,-0.0226424467725583
-0.013868029739777,-0.015113501182832
-0.0120829108933198,-0.0130652951447561
-0.0102316830010139,-0.0125379182156134
-0.00928736059479554,-0.0222538019601217
-0.00691708910668018,-0.0150818266306184
-0.00499346062859074,-0.00946022135856708
-0.00366570068716909,-0.00655293173369382
-0.00336537681649206,-0.0256912892869213
-0.000171988847583643,-0.0169138222372423
0.00350390052945815,-0.0108327531823814
0.00753271375464684,-0.0147138222372423
0.0114988171679621,-0.0130575363298412
0.0172082347639968,-0.0153133519206939
0.0248827306522474,-0.0215309226089895
0.0308433592429875,-0.00727314971274079
0.0401782696857046,-0.0077277571251549
0.0496804663737749,-0.00341686380533964
0.0608433310803199,-0.00243691562464797
0.0682411287597161,0.00940960459614735
0.0829291990537344,0.0020934437309902
0.0906753407682776,0.0133583558634674
0.101784555593106,0.0169837783034809
0.108507941872254,0.0249458262926664
0.114995212346513,0.0331696096654275
0.128318688746198,0.0319270361608652
0.131587247944125,0.0410759547144305
0.134420412301453,0.0487975667455221
0.143173369381548,0.0487495775599865
0.143228286583305,0.0559731609778078
0.149332544778641,0.0572918215613383
0.144690773910105,0.0649986481919567
0.150671679621494,0.0644840599301566
0.150363298411626,0.0639232848935451
0.139576996733131,0.0668821110735609
0.136451503886448,0.0648222372423116
0.13416187901318,0.0632718823927002
0.122368198715782,0.0673838289962825
0.119401824940858,0.0674068942210206
